                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3581,                 2.3478,                 1.2382,                 0.8656,                0.78808,                0.84094,                 0.5182,                 1.2845,                 1.0377,                 1.1617,               0.070667,              0.0032593,              0.0032593
                      1,                 1.2575,                0.96387,                 1.1632,                0.85855,                0.70904,                0.83774,                0.53838,                 1.2976,                 1.0523,                 1.1481,               0.040623,              0.0065491,              0.0065491
                      2,                 1.2031,                 0.9637,                 1.1158,                0.84423,                0.87577,                0.91505,                0.57968,                 1.2736,                0.86271,                 1.1293,               0.010536,              0.0097949,              0.0097949
                      3,                 1.3415,                0.89486,                 1.1507,                 0.9081,                0.88571,                0.93838,                0.59745,                 1.2636,                0.99959,                 1.1196,               0.009802,               0.009802,               0.009802
                      4,                 1.2773,                0.84978,                 1.1243,                0.87036,                0.88651,                0.91155,                0.58377,                 1.3301,                0.78229,                 1.1661,               0.009802,               0.009802,               0.009802
                      5,                 1.2384,                0.81039,                 1.1058,                0.91958,                0.81084,                0.89335,                0.56567,                 1.3563,                0.89518,                 1.1546,               0.009736,               0.009736,               0.009736
                      6,                 1.2475,                0.80412,                 1.1007,                0.91738,                0.84322,                0.92491,                0.61974,                 1.2789,                0.73479,                 1.1204,                0.00967,                0.00967,                0.00967
                      7,                  1.276,                0.78508,                 1.1362,                0.92968,                0.84832,                0.94004,                0.59122,                 1.3518,                0.82062,                 1.1614,               0.009604,               0.009604,               0.009604
                      8,                 1.2617,                0.76481,                 1.1201,                0.92865,                0.92696,                 0.9607,                0.62214,                 1.3029,                  0.703,                 1.1003,               0.009538,               0.009538,               0.009538
                      9,                 1.2329,                0.75102,                 1.1001,                0.88403,                0.90221,                0.93758,                0.62474,                 1.2673,                0.75664,                 1.1204,               0.009472,               0.009472,               0.009472
                     10,                 1.2416,                 0.7381,                 1.1131,                0.92032,                0.86659,                0.93208,                0.60015,                 1.3452,                0.73157,                 1.1591,               0.009406,               0.009406,               0.009406
                     11,                 1.2001,                0.71556,                 1.0878,                0.93291,                0.94543,                0.96525,                0.64096,                 1.2666,                0.63983,                 1.1466,                0.00934,                0.00934,                0.00934
                     12,                 1.2345,                 0.7314,                 1.1145,                0.94759,                0.85414,                 0.9422,                0.63047,                 1.2695,                0.71226,                  1.154,               0.009274,               0.009274,               0.009274
                     13,                 1.2268,                 0.6872,                 1.1022,                0.92324,                0.90562,                0.94372,                0.63609,                 1.2041,                0.69024,                 1.0996,               0.009208,               0.009208,               0.009208
                     14,                 1.1879,                0.67735,                 1.0901,                0.90534,                0.94382,                0.96718,                0.65215,                 1.2452,                0.66436,                 1.1195,               0.009142,               0.009142,               0.009142
                     15,                 1.1892,                0.70679,                 1.0992,                0.89769,                0.95225,                  0.976,                0.65231,                 1.2125,                0.65992,                 1.0978,               0.009076,               0.009076,               0.009076
                     16,                 1.1512,                 0.6603,                 1.0764,                0.95859,                0.94253,                0.97862,                0.65611,                 1.2664,                 0.6501,                 1.1071,                0.00901,                0.00901,                0.00901
                     17,                 1.1859,                0.68843,                 1.0891,                0.95908,                0.95875,                0.97986,                0.66592,                 1.2323,                0.62896,                 1.1161,               0.008944,               0.008944,               0.008944
                     18,                 1.1663,                0.66877,                 1.0743,                0.97216,                0.92634,                 0.9743,                0.64241,                 1.2874,                 0.6568,                 1.1406,               0.008878,               0.008878,               0.008878
                     19,                 1.1416,                0.66415,                 1.0652,                0.93137,                0.96462,                0.97431,                0.67205,                 1.2602,                0.61407,                 1.1211,               0.008812,               0.008812,               0.008812
